WeekEnding,HB,HBQF,AgeGroup,AgeGroupQF,Sex,SexQF,AdmissionType,AdmissionTypeQF,NumberAdmissions,Average20182019,PercentVariation
20200105,S08000015,,Under 5,,All,d,All,d,89,93,-4.3
20200105,S08000015,,5 - 14,,All,d,All,d,26,33,-21.2
20200105,S08000015,,15 - 44,,All,d,All,d,171,191.5,-10.7
20200105,S08000015,,45 - 64,,All,d,All,d,245,259,-5.4
20200105,S08000015,,65 - 74,,All,d,All,d,184,195.5,-5.9
20200105,S08000015,,75 - 84,,All,d,All,d,169,179.5,-5.8
20200105,S08000015,,85 and over,,All,d,All,d,106,128,-17.2
20200105,S08000015,,All ages,d,All,d,All,d,990,1079.5,-8.3
20200105,S08000015,,All ages,d,Female,,All,d,493,540.5,-8.8
20200105,S08000015,,All ages,d,Male,,All,d,488,529.5,-7.8
20200105,S08000016,,Under 5,,All,d,All,d,25,28.5,-12.3
20200105,S08000016,,15 - 44,,All,d,All,d,27,33.5,-19.4
20200105,S08000016,,45 - 64,,All,d,All,d,44,51.5,-14.6
20200105,S08000016,,65 - 74,,All,d,All,d,59,45.5,29.7
20200105,S08000016,,75 - 84,,All,d,All,d,65,60,8.3
20200105,S08000016,,85 and over,,All,d,All,d,53,44,20.5
20200105,S08000016,,All ages,d,All,d,All,d,275,270.5,1.7
20200105,S08000016,,All ages,d,Female,,All,d,139,134.5,3.3
20200105,S08000016,,All ages,d,Male,,All,d,131,133.5,-1.9
20200105,S08000017,,Under 5,,All,d,All,d,29,35.5,-18.3
20200105,S08000017,,5 - 14,,All,d,All,d,7,12,-41.7
20200105,S08000017,,15 - 44,,All,d,All,d,64,69.5,-7.9
20200105,S08000017,,45 - 64,,All,d,All,d,89,69,29
20200105,S08000017,,65 - 74,,All,d,All,d,66,70,-5.7
20200105,S08000017,,75 - 84,,All,d,All,d,82,79.5,3.1
20200105,S08000017,,85 and over,,All,d,All,d,56,58.5,-4.3
20200105,S08000017,,All ages,d,All,d,All,d,393,394,-0.3
20200105,S08000017,,All ages,d,Female,,All,d,194,193,0.5
20200105,S08000017,,All ages,d,Male,,All,d,191,196,-2.6
20200105,S08000019,,Under 5,,All,d,All,d,39,117.5,-66.8
20200105,S08000019,,5 - 14,,All,d,All,d,19,43.5,-56.3
20200105,S08000019,,15 - 44,,All,d,All,d,142,222.5,-36.2
20200105,S08000019,,45 - 64,,All,d,All,d,201,283,-29
20200105,S08000019,,65 - 74,,All,d,All,d,110,229.5,-52.1
20200105,S08000019,,75 - 84,,All,d,All,d,167,297,-43.8
20200105,S08000019,,85 and over,,All,d,All,d,85,200,-57.5
20200105,S08000019,,All ages,d,All,d,All,d,763,1393,-45.2
20200105,S08000019,,All ages,d,Female,,All,d,386,691.5,-44.2
20200105,S08000019,,All ages,d,Male,,All,d,370,686.5,-46.1
20200105,S08000020,,Under 5,,All,d,All,d,119,87,36.8
20200105,S08000020,,5 - 14,,All,d,All,d,60,37.5,60
20200105,S08000020,,15 - 44,,All,d,All,d,195,188,3.7
20200105,S08000020,,45 - 64,,All,d,All,d,260,262.5,-1
20200105,S08000020,,65 - 74,,All,d,All,d,186,198,-6.1
20200105,S08000020,,75 - 84,,All,d,All,d,199,227.5,-12.5
20200105,S08000020,,85 and over,,All,d,All,d,146,156,-6.4
20200105,S08000020,,All ages,d,All,d,All,d,1165,1156.5,0.7
20200105,S08000020,,All ages,d,Female,,All,d,561,560,0.2
20200105,S08000020,,All ages,d,Male,,All,d,592,576,2.8
20200105,S08000022,,Under 5,,All,d,All,d,54,54.5,-0.9
20200105,S08000022,,5 - 14,,All,d,All,d,22,15,46.7
20200105,S08000022,,15 - 44,,All,d,All,d,124,123.5,0.4
20200105,S08000022,,45 - 64,,All,d,All,d,172,168,2.4
20200105,S08000022,,65 - 74,,All,d,All,d,138,126,9.5
20200105,S08000022,,75 - 84,,All,d,All,d,142,129,10.1
20200105,S08000022,,85 and over,,All,d,All,d,92,87,5.7
20200105,S08000022,,All ages,d,All,d,All,d,744,703,5.8
20200105,S08000022,,All ages,d,Female,,All,d,374,351.5,6.4
20200105,S08000022,,All ages,d,Male,,All,d,347,336,3.3
20200105,S08000024,,Under 5,,All,d,All,d,162,118,37.3
20200105,S08000024,,5 - 14,,All,d,All,d,80,63.5,26
20200105,S08000024,,15 - 44,,All,d,All,d,478,384.5,24.3
20200105,S08000024,,45 - 64,,All,d,All,d,527,442,19.2
20200105,S08000024,,65 - 74,,All,d,All,d,343,323,6.2
20200105,S08000024,,75 - 84,,All,d,All,d,365,340.5,7.2
20200105,S08000024,,85 and over,,All,d,All,d,240,228.5,5
20200105,S08000024,,All ages,d,All,d,All,d,2195,1900,15.5
20200105,S08000024,,All ages,d,Female,,All,d,1101,922,19.4
20200105,S08000024,,All ages,d,Male,,All,d,1043,937.5,11.3
20200105,S08000025,,15 - 44,,All,d,All,d,6,6.5,-7.7
20200105,S08000025,,45 - 64,,All,d,All,d,7,3,133.3
20200105,S08000025,,65 - 74,,All,d,All,d,10,7,42.9
20200105,S08000025,,75 - 84,,All,d,All,d,11,11,0
20200105,S08000025,,85 and over,,All,d,All,d,5,4.5,11.1
20200105,S08000025,,All ages,d,All,d,All,d,40,35,14.3
20200105,S08000025,,All ages,d,Female,,All,d,16,18.5,-13.5
20200105,S08000025,,All ages,d,Male,,All,d,23,16.5,39.4
20200105,S08000026,,15 - 44,,All,d,All,d,6,9.5,-36.8
20200105,S08000026,,45 - 64,,All,d,All,d,6,13,-53.8
20200105,S08000026,,75 - 84,,All,d,All,d,8,7.5,6.7
20200105,S08000026,,All ages,d,All,d,All,d,28,39.5,-29.1
20200105,S08000026,,All ages,d,Female,,All,d,15,19.5,-23.1
20200105,S08000026,,All ages,d,Male,,All,d,13,17,-23.5
20200105,S08000028,,15 - 44,,All,d,All,d,12,11,9.1
20200105,S08000028,,45 - 64,,All,d,All,d,12,20,-40
20200105,S08000028,,65 - 74,,All,d,All,d,14,19,-26.3
20200105,S08000028,,75 - 84,,All,d,All,d,13,18.5,-29.7
20200105,S08000028,,85 and over,,All,d,All,d,13,14,-7.1
20200105,S08000028,,All ages,d,All,d,All,d,66,86,-23.3
20200105,S08000028,,All ages,d,Female,,All,d,30,43.5,-31
20200105,S08000028,,All ages,d,Male,,All,d,34,41.5,-18.1
20200105,S08000029,,Under 5,,All,d,All,d,73,77,-5.2
20200105,S08000029,,5 - 14,,All,d,All,d,21,22.5,-6.7
20200105,S08000029,,15 - 44,,All,d,All,d,175,172,1.7
20200105,S08000029,,45 - 64,,All,d,All,d,193,210.5,-8.3
20200105,S08000029,,65 - 74,,All,d,All,d,162,155.5,4.2
20200105,S08000029,,75 - 84,,All,d,All,d,174,158,10.1
20200105,S08000029,,85 and over,,All,d,All,d,116,109,6.4
20200105,S08000029,,All ages,d,All,d,All,d,914,904.5,1.1
20200105,S08000029,,All ages,d,Female,,All,d,445,435.5,2.2
20200105,S08000029,,All ages,d,Male,,All,d,461,464,-0.6
20200105,S08000030,,Under 5,,All,d,All,d,75,98.5,-23.9
20200105,S08000030,,5 - 14,,All,d,All,d,40,42.5,-5.9
20200105,S08000030,,15 - 44,,All,d,All,d,209,193.5,8
20200105,S08000030,,45 - 64,,All,d,All,d,233,241.5,-3.5
20200105,S08000030,,65 - 74,,All,d,All,d,182,194.5,-6.4
20200105,S08000030,,75 - 84,,All,d,All,d,227,230,-1.3
20200105,S08000030,,85 and over,,All,d,All,d,173,173,0
20200105,S08000030,,All ages,d,All,d,All,d,1139,1173.5,-2.9
20200105,S08000030,,All ages,d,Female,,All,d,578,610,-5.2
20200105,S08000030,,All ages,d,Male,,All,d,549,562,-2.3
20200105,S08000031,,Under 5,,All,d,All,d,256,298,-14.1
20200105,S08000031,,5 - 14,,All,d,All,d,138,122,13.1
20200105,S08000031,,15 - 44,,All,d,All,d,732,666,9.9
20200105,S08000031,,45 - 64,,All,d,All,d,899,912,-1.4
20200105,S08000031,,65 - 74,,All,d,All,d,565,600,-5.8
20200105,S08000031,,75 - 84,,All,d,All,d,606,667.5,-9.2
20200105,S08000031,,85 and over,,All,d,All,d,396,434,-8.8
20200105,S08000031,,All ages,d,All,d,All,d,3592,3699.5,-2.9
20200105,S08000031,,All ages,d,Female,,All,d,1789,1858.5,-3.7
20200105,S08000031,,All ages,d,Male,,All,d,1750,1795,-2.5
20200105,S08000032,,Under 5,,All,d,All,d,163,189.5,-14
20200105,S08000032,,5 - 14,,All,d,All,d,45,33,36.4
20200105,S08000032,,15 - 44,,All,d,All,d,294,300.5,-2.2
20200105,S08000032,,45 - 64,,All,d,All,d,385,404,-4.7
20200105,S08000032,,65 - 74,,All,d,All,d,312,269.5,15.8
20200105,S08000032,,75 - 84,,All,d,All,d,287,304.5,-5.7
20200105,S08000032,,85 and over,,All,d,All,d,154,146.5,5.1
20200105,S08000032,,All ages,d,All,d,All,d,1640,1647.5,-0.5
20200105,S08000032,,All ages,d,Female,,All,d,753,799,-5.8
20200105,S08000032,,All ages,d,Male,,All,d,805,794.5,1.3
20200105,S92000003,d,Under 5,,All,d,All,d,1088,1201.5,-9.4
20200105,S92000003,d,5 - 14,,All,d,All,d,462,436.5,5.8
20200105,S92000003,d,15 - 44,,All,d,All,d,2635,2572,2.4
20200105,S92000003,d,45 - 64,,All,d,All,d,3273,3339,-2
20200105,S92000003,d,65 - 74,,All,d,All,d,2335,2437,-4.2
20200105,S92000003,d,75 - 84,,All,d,All,d,2515,2710,-7.2
20200105,S92000003,d,85 and over,,All,d,All,d,1636,1786,-8.4
20200105,S92000003,d,All ages,d,All,d,All,d,13944,14482,-3.7
20200105,S92000003,d,All ages,d,Female,,All,d,6874,7177.5,-4.2
20200105,S92000003,d,All ages,d,Male,,All,d,6797,7085.5,-4.1
20200112,S08000015,,Under 5,,All,d,All,d,83,105.5,-21.3
20200112,S08000015,,5 - 14,,All,d,All,d,40,41,-2.4
20200112,S08000015,,15 - 44,,All,d,All,d,191,199,-4
20200112,S08000015,,45 - 64,,All,d,All,d,283,311.5,-9.1
20200112,S08000015,,65 - 74,,All,d,All,d,189,212,-10.8
20200112,S08000015,,75 - 84,,All,d,All,d,173,207.5,-16.6
20200112,S08000015,,85 and over,,All,d,All,d,132,98,34.7
20200112,S08000015,,All ages,d,All,d,All,d,1091,1174.5,-7.1
20200112,S08000015,,All ages,d,Female,,All,d,527,585,-9.9
20200112,S08000015,,All ages,d,Male,,All,d,562,587.5,-4.3
20200112,S08000016,,Under 5,,All,d,All,d,15,21,-28.6
20200112,S08000016,,5 - 14,,All,d,All,d,6,10.5,-42.9
20200112,S08000016,,15 - 44,,All,d,All,d,25,29.5,-15.3
20200112,S08000016,,45 - 64,,All,d,All,d,43,46,-6.5
20200112,S08000016,,65 - 74,,All,d,All,d,43,48,-10.4
20200112,S08000016,,75 - 84,,All,d,All,d,68,66.5,2.3
20200112,S08000016,,85 and over,,All,d,All,d,39,48.5,-19.6
20200112,S08000016,,All ages,d,All,d,All,d,239,270,-11.5
20200112,S08000016,,All ages,d,Female,,All,d,125,132,-5.3
20200112,S08000016,,All ages,d,Male,,All,d,114,137.5,-17.1
20200112,S08000017,,Under 5,,All,d,All,d,29,42,-31
20200112,S08000017,,5 - 14,,All,d,All,d,10,19,-47.4
20200112,S08000017,,15 - 44,,All,d,All,d,72,62.5,15.2
20200112,S08000017,,45 - 64,,All,d,All,d,90,94,-4.3
20200112,S08000017,,65 - 74,,All,d,All,d,77,89.5,-14
20200112,S08000017,,75 - 84,,All,d,All,d,103,106,-2.8
20200112,S08000017,,85 and over,,All,d,All,d,65,64,1.6
20200112,S08000017,,All ages,d,All,d,All,d,446,477,-6.5
20200112,S08000017,,All ages,d,Female,,All,d,232,222.5,4.3
20200112,S08000017,,All ages,d,Male,,All,d,213,254,-16.1
20200112,S08000019,,Under 5,,All,d,All,d,39,96.5,-59.6
20200112,S08000019,,5 - 14,,All,d,All,d,32,66,-51.5
20200112,S08000019,,15 - 44,,All,d,All,d,168,230.5,-27.1
20200112,S08000019,,45 - 64,,All,d,All,d,191,265.5,-28.1
20200112,S08000019,,65 - 74,,All,d,All,d,136,208.5,-34.8
20200112,S08000019,,75 - 84,,All,d,All,d,154,273.5,-43.7
20200112,S08000019,,85 and over,,All,d,All,d,81,175.5,-53.8
20200112,S08000019,,All ages,d,All,d,All,d,801,1316,-39.1
20200112,S08000019,,All ages,d,Female,,All,d,402,620,-35.2
20200112,S08000019,,All ages,d,Male,,All,d,399,693,-42.4
20200112,S08000020,,Under 5,,All,d,All,d,106,96,10.4
20200112,S08000020,,5 - 14,,All,d,All,d,86,51.5,67
20200112,S08000020,,15 - 44,,All,d,All,d,209,237,-11.8
20200112,S08000020,,45 - 64,,All,d,All,d,280,328,-14.6
20200112,S08000020,,65 - 74,,All,d,All,d,233,239,-2.5
20200112,S08000020,,75 - 84,,All,d,All,d,263,261.5,0.6
20200112,S08000020,,85 and over,,All,d,All,d,152,150.5,1
20200112,S08000020,,All ages,d,All,d,All,d,1329,1363.5,-2.5
20200112,S08000020,,All ages,d,Female,,All,d,705,636.5,10.8
20200112,S08000020,,All ages,d,Male,,All,d,617,713,-13.5
20200112,S08000022,,Under 5,,All,d,All,d,66,45,46.7
20200112,S08000022,,5 - 14,,All,d,All,d,20,18,11.1
20200112,S08000022,,15 - 44,,All,d,All,d,135,134.5,0.4
20200112,S08000022,,45 - 64,,All,d,All,d,172,165,4.2
20200112,S08000022,,65 - 74,,All,d,All,d,148,136.5,8.4
20200112,S08000022,,75 - 84,,All,d,All,d,158,149,6
20200112,S08000022,,85 and over,,All,d,All,d,89,98.5,-9.6
20200112,S08000022,,All ages,d,All,d,All,d,788,746.5,5.6
20200112,S08000022,,All ages,d,Female,,All,d,400,397,0.8
20200112,S08000022,,All ages,d,Male,,All,d,382,341,12
20200112,S08000024,,Under 5,,All,d,All,d,145,138.5,4.7
20200112,S08000024,,5 - 14,,All,d,All,d,102,84,21.4
20200112,S08000024,,15 - 44,,All,d,All,d,465,409,13.7
20200112,S08000024,,45 - 64,,All,d,All,d,613,578.5,6
20200112,S08000024,,65 - 74,,All,d,All,d,372,368.5,0.9
20200112,S08000024,,75 - 84,,All,d,All,d,395,365,8.2
20200112,S08000024,,85 and over,,All,d,All,d,244,223,9.4
20200112,S08000024,,All ages,d,All,d,All,d,2336,2166.5,7.8
20200112,S08000024,,All ages,d,Female,,All,d,1167,1079,8.2
20200112,S08000024,,All ages,d,Male,,All,d,1153,1066.5,8.1
20200112,S08000025,,45 - 64,,All,d,All,d,10,8.5,17.6
20200112,S08000025,,65 - 74,,All,d,All,d,10,10.5,-4.8
20200112,S08000025,,75 - 84,,All,d,All,d,15,7,114.3
20200112,S08000025,,85 and over,,All,d,All,d,5,5.5,-9.1
20200112,S08000025,,All ages,d,All,d,All,d,44,40,10
20200112,S08000025,,All ages,d,Female,,All,d,21,17.5,20
20200112,S08000025,,All ages,d,Male,,All,d,22,21.5,2.3
20200112,S08000026,,15 - 44,,All,d,All,d,6,6.5,-7.7
20200112,S08000026,,45 - 64,,All,d,All,d,9,9,0
20200112,S08000026,,65 - 74,,All,d,All,d,6,8.5,-29.4
20200112,S08000026,,75 - 84,,All,d,All,d,8,13.5,-40.7
20200112,S08000026,,All ages,d,All,d,All,d,34,47,-27.7
20200112,S08000026,,All ages,d,Female,,All,d,17,23.5,-27.7
20200112,S08000026,,All ages,d,Male,,All,d,17,22,-22.7
20200112,S08000028,,15 - 44,,All,d,All,d,10,9,11.1
20200112,S08000028,,45 - 64,,All,d,All,d,19,14.5,31
20200112,S08000028,,65 - 74,,All,d,All,d,19,18,5.6
20200112,S08000028,,75 - 84,,All,d,All,d,22,19,15.8
20200112,S08000028,,85 and over,,All,d,All,d,12,12,0
20200112,S08000028,,All ages,d,All,d,All,d,86,77.5,11
20200112,S08000028,,All ages,d,Female,,All,d,42,38.5,9.1
20200112,S08000028,,All ages,d,Male,,All,d,44,39,12.8
20200112,S08000029,,Under 5,,All,d,All,d,63,66.5,-5.3
20200112,S08000029,,5 - 14,,All,d,All,d,27,32.5,-16.9
20200112,S08000029,,15 - 44,,All,d,All,d,178,162.5,9.5
20200112,S08000029,,45 - 64,,All,d,All,d,189,204.5,-7.6
20200112,S08000029,,65 - 74,,All,d,All,d,169,161.5,4.6
20200112,S08000029,,75 - 84,,All,d,All,d,184,186.5,-1.3
20200112,S08000029,,85 and over,,All,d,All,d,132,118.5,11.4
20200112,S08000029,,All ages,d,All,d,All,d,942,932.5,1
20200112,S08000029,,All ages,d,Female,,All,d,478,476.5,0.3
20200112,S08000029,,All ages,d,Male,,All,d,460,454.5,1.2
20200112,S08000030,,Under 5,,All,d,All,d,70,98.5,-28.9
20200112,S08000030,,5 - 14,,All,d,All,d,47,57.5,-18.3
20200112,S08000030,,15 - 44,,All,d,All,d,257,207,24.2
20200112,S08000030,,45 - 64,,All,d,All,d,327,283.5,15.3
20200112,S08000030,,65 - 74,,All,d,All,d,219,215.5,1.6
20200112,S08000030,,75 - 84,,All,d,All,d,219,243,-9.9
20200112,S08000030,,85 and over,,All,d,All,d,172,168.5,2.1
20200112,S08000030,,All ages,d,All,d,All,d,1311,1273.5,2.9
20200112,S08000030,,All ages,d,Female,,All,d,668,637.5,4.8
20200112,S08000030,,All ages,d,Male,,All,d,635,633.5,0.2
20200112,S08000031,,Under 5,,All,d,All,d,257,279,-7.9
20200112,S08000031,,5 - 14,,All,d,All,d,182,154,18.2
20200112,S08000031,,15 - 44,,All,d,All,d,816,803.5,1.6
20200112,S08000031,,45 - 64,,All,d,All,d,1111,1098.5,1.1
20200112,S08000031,,65 - 74,,All,d,All,d,663,716,-7.4
20200112,S08000031,,75 - 84,,All,d,All,d,695,734.5,-5.4
20200112,S08000031,,85 and over,,All,d,All,d,415,418.5,-0.8
20200112,S08000031,,All ages,d,All,d,All,d,4139,4204,-1.5
20200112,S08000031,,All ages,d,Female,,All,d,2069,2070,-0
20200112,S08000031,,All ages,d,Male,,All,d,2057,2127,-3.3
20200112,S08000032,,Under 5,,All,d,All,d,126,180.5,-30.2
20200112,S08000032,,5 - 14,,All,d,All,d,23,67.5,-65.9
20200112,S08000032,,15 - 44,,All,d,All,d,332,338.5,-1.9
20200112,S08000032,,45 - 64,,All,d,All,d,492,461,6.7
20200112,S08000032,,65 - 74,,All,d,All,d,280,295,-5.1
20200112,S08000032,,75 - 84,,All,d,All,d,318,289,10
20200112,S08000032,,85 and over,,All,d,All,d,151,156.5,-3.5
20200112,S08000032,,All ages,d,All,d,All,d,1722,1788,-3.7
20200112,S08000032,,All ages,d,Female,,All,d,856,892.5,-4.1
20200112,S08000032,,All ages,d,Male,,All,d,843,887.5,-5
20200112,S92000003,d,Under 5,,All,d,All,d,1003,1173.5,-14.5
20200112,S92000003,d,5 - 14,,All,d,All,d,579,604.5,-4.2
20200112,S92000003,d,15 - 44,,All,d,All,d,2866,2836,1.1
20200112,S92000003,d,45 - 64,,All,d,All,d,3829,3868,-1
20200112,S92000003,d,65 - 74,,All,d,All,d,2564,2727,-6
20200112,S92000003,d,75 - 84,,All,d,All,d,2775,2921.5,-5
20200112,S92000003,d,85 and over,,All,d,All,d,1692,1746,-3.1
20200112,S92000003,d,All ages,d,All,d,All,d,15308,15876.5,-3.6
20200112,S92000003,d,All ages,d,Female,,All,d,7709,7828,-1.5
20200112,S92000003,d,All ages,d,Male,,All,d,7518,7977.5,-5.8
20200119,S08000015,,Under 5,,All,d,All,d,68,109,-37.6
20200119,S08000015,,5 - 14,,All,d,All,d,31,49.5,-37.4
20200119,S08000015,,15 - 44,,All,d,All,d,174,214,-18.7
20200119,S08000015,,45 - 64,,All,d,All,d,273,319,-14.4
20200119,S08000015,,65 - 74,,All,d,All,d,200,183.5,9
20200119,S08000015,,75 - 84,,All,d,All,d,210,208.5,0.7
20200119,S08000015,,85 and over,,All,d,All,d,99,123,-19.5
20200119,S08000015,,All ages,d,All,d,All,d,1055,1206.5,-12.6
20200119,S08000015,,All ages,d,Female,,All,d,557,589.5,-5.5
20200119,S08000015,,All ages,d,Male,,All,d,496,615,-19.3
20200119,S08000016,,Under 5,,All,d,All,d,16,21,-23.8
20200119,S08000016,,5 - 14,,All,d,All,d,9,10,-10
20200119,S08000016,,15 - 44,,All,d,All,d,18,25,-28
20200119,S08000016,,45 - 64,,All,d,All,d,62,44.5,39.3
20200119,S08000016,,65 - 74,,All,d,All,d,41,41.5,-1.2
20200119,S08000016,,75 - 84,,All,d,All,d,52,50.5,3
20200119,S08000016,,85 and over,,All,d,All,d,42,51,-17.6
20200119,S08000016,,All ages,d,All,d,All,d,240,243.5,-1.4
20200119,S08000016,,All ages,d,Female,,All,d,136,128,6.2
20200119,S08000016,,All ages,d,Male,,All,d,101,115.5,-12.6
20200119,S08000017,,Under 5,,All,d,All,d,26,41.5,-37.3
20200119,S08000017,,5 - 14,,All,d,All,d,22,24,-8.3
20200119,S08000017,,15 - 44,,All,d,All,d,61,62.5,-2.4
20200119,S08000017,,45 - 64,,All,d,All,d,80,83,-3.6
20200119,S08000017,,65 - 74,,All,d,All,d,69,84.5,-18.3
20200119,S08000017,,75 - 84,,All,d,All,d,101,99.5,1.5
20200119,S08000017,,85 and over,,All,d,All,d,62,51,21.6
20200119,S08000017,,All ages,d,All,d,All,d,421,446,-5.6
20200119,S08000017,,All ages,d,Female,,All,d,215,218.5,-1.6
20200119,S08000017,,All ages,d,Male,,All,d,204,227.5,-10.3
20200119,S08000019,,Under 5,,All,d,All,d,48,103.5,-53.6
20200119,S08000019,,5 - 14,,All,d,All,d,21,55,-61.8
20200119,S08000019,,15 - 44,,All,d,All,d,178,242,-26.4
20200119,S08000019,,45 - 64,,All,d,All,d,190,291,-34.7
20200119,S08000019,,65 - 74,,All,d,All,d,99,215.5,-54.1
20200119,S08000019,,75 - 84,,All,d,All,d,160,220,-27.3
20200119,S08000019,,85 and over,,All,d,All,d,94,162.5,-42.2
20200119,S08000019,,All ages,d,All,d,All,d,790,1289.5,-38.7
20200119,S08000019,,All ages,d,Female,,All,d,389,655,-40.6
20200119,S08000019,,All ages,d,Male,,All,d,401,630.5,-36.4
20200119,S08000020,,Under 5,,All,d,All,d,90,99,-9.1
20200119,S08000020,,5 - 14,,All,d,All,d,64,59.5,7.6
20200119,S08000020,,15 - 44,,All,d,All,d,230,231.5,-0.6
20200119,S08000020,,45 - 64,,All,d,All,d,317,304.5,4.1
20200119,S08000020,,65 - 74,,All,d,All,d,230,243.5,-5.5
20200119,S08000020,,75 - 84,,All,d,All,d,251,242,3.7
20200119,S08000020,,85 and over,,All,d,All,d,173,176,-1.7
20200119,S08000020,,All ages,d,All,d,All,d,1355,1356,-0.1
20200119,S08000020,,All ages,d,Female,,All,d,675,669.5,0.8
20200119,S08000020,,All ages,d,Male,,All,d,672,680,-1.2
20200119,S08000022,,Under 5,,All,d,All,d,34,65,-47.7
20200119,S08000022,,5 - 14,,All,d,All,d,21,25,-16
20200119,S08000022,,15 - 44,,All,d,All,d,160,135,18.5
20200119,S08000022,,45 - 64,,All,d,All,d,184,182,1.1
20200119,S08000022,,65 - 74,,All,d,All,d,142,150,-5.3
20200119,S08000022,,75 - 84,,All,d,All,d,147,147,0
20200119,S08000022,,85 and over,,All,d,All,d,76,90,-15.6
20200119,S08000022,,All ages,d,All,d,All,d,764,794,-3.8
20200119,S08000022,,All ages,d,Female,,All,d,400,399,0.3
20200119,S08000022,,All ages,d,Male,,All,d,358,387,-7.5
20200119,S08000024,,Under 5,,All,d,All,d,151,143.5,5.2
20200119,S08000024,,5 - 14,,All,d,All,d,85,81,4.9
20200119,S08000024,,15 - 44,,All,d,All,d,509,400,27.3
20200119,S08000024,,45 - 64,,All,d,All,d,601,542,10.9
20200119,S08000024,,65 - 74,,All,d,All,d,401,348,15.2
20200119,S08000024,,75 - 84,,All,d,All,d,406,330,23
20200119,S08000024,,85 and over,,All,d,All,d,256,219.5,16.6
20200119,S08000024,,All ages,d,All,d,All,d,2409,2064,16.7
20200119,S08000024,,All ages,d,Female,,All,d,1184,1033.5,14.6
20200119,S08000024,,All ages,d,Male,,All,d,1200,1012.5,18.5
20200119,S08000025,,15 - 44,,All,d,All,d,12,5.5,118.2
20200119,S08000025,,45 - 64,,All,d,All,d,13,12,8.3
20200119,S08000025,,65 - 74,,All,d,All,d,5,8.5,-41.2
20200119,S08000025,,75 - 84,,All,d,All,d,10,11.5,-13
20200119,S08000025,,85 and over,,All,d,All,d,5,5,0
20200119,S08000025,,All ages,d,All,d,All,d,47,43.5,8
20200119,S08000025,,All ages,d,Female,,All,d,23,19.5,17.9
20200119,S08000025,,All ages,d,Male,,All,d,24,23.5,2.1
20200119,S08000026,,15 - 44,,All,d,All,d,6,10,-40
20200119,S08000026,,45 - 64,,All,d,All,d,7,11,-36.4
20200119,S08000026,,75 - 84,,All,d,All,d,7,11,-36.4
20200119,S08000026,,All ages,d,All,d,All,d,28,49,-42.9
20200119,S08000026,,All ages,d,Female,,All,d,10,24.5,-59.2
20200119,S08000026,,All ages,d,Male,,All,d,17,23.5,-27.7
20200119,S08000028,,15 - 44,,All,d,All,d,6,6.5,-7.7
20200119,S08000028,,45 - 64,,All,d,All,d,23,15.5,48.4
20200119,S08000028,,65 - 74,,All,d,All,d,13,17,-23.5
20200119,S08000028,,75 - 84,,All,d,All,d,15,19,-21.1
20200119,S08000028,,85 and over,,All,d,All,d,10,12,-16.7
20200119,S08000028,,All ages,d,All,d,All,d,71,74.5,-4.7
20200119,S08000028,,All ages,d,Female,,All,d,31,35,-11.4
20200119,S08000028,,All ages,d,Male,,All,d,37,39,-5.1
20200119,S08000029,,Under 5,,All,d,All,d,79,62,27.4
20200119,S08000029,,5 - 14,,All,d,All,d,37,32.5,13.8
20200119,S08000029,,15 - 44,,All,d,All,d,186,156.5,18.8
20200119,S08000029,,45 - 64,,All,d,All,d,206,205.5,0.2
20200119,S08000029,,65 - 74,,All,d,All,d,162,155.5,4.2
20200119,S08000029,,75 - 84,,All,d,All,d,184,163,12.9
20200119,S08000029,,85 and over,,All,d,All,d,123,129.5,-5
20200119,S08000029,,All ages,d,All,d,All,d,977,904.5,8
20200119,S08000029,,All ages,d,Female,,All,d,501,463,8.2
20200119,S08000029,,All ages,d,Male,,All,d,472,440,7.3
20200119,S08000030,,Under 5,,All,d,All,d,94,90,4.4
20200119,S08000030,,5 - 14,,All,d,All,d,57,58,-1.7
20200119,S08000030,,15 - 44,,All,d,All,d,218,232.5,-6.2
20200119,S08000030,,45 - 64,,All,d,All,d,285,292.5,-2.6
20200119,S08000030,,65 - 74,,All,d,All,d,240,222,8.1
20200119,S08000030,,75 - 84,,All,d,All,d,241,255,-5.5
20200119,S08000030,,85 and over,,All,d,All,d,164,161,1.9
20200119,S08000030,,All ages,d,All,d,All,d,1299,1311,-0.9
20200119,S08000030,,All ages,d,Female,,All,d,672,650.5,3.3
20200119,S08000030,,All ages,d,Male,,All,d,617,658.5,-6.3
20200119,S08000031,,Under 5,,All,d,All,d,258,287.5,-10.3
20200119,S08000031,,5 - 14,,All,d,All,d,180,161,11.8
20200119,S08000031,,15 - 44,,All,d,All,d,777,797,-2.5
20200119,S08000031,,45 - 64,,All,d,All,d,1122,1094.5,2.5
20200119,S08000031,,65 - 74,,All,d,All,d,650,692.5,-6.1
20200119,S08000031,,75 - 84,,All,d,All,d,654,668,-2.1
20200119,S08000031,,85 and over,,All,d,All,d,435,435.5,-0.1
20200119,S08000031,,All ages,d,All,d,All,d,4076,4136,-1.5
20200119,S08000031,,All ages,d,Female,,All,d,2060,2068.5,-0.4
20200119,S08000031,,All ages,d,Male,,All,d,2000,2053.5,-2.6
20200119,S08000032,,Under 5,,All,d,All,d,151,190,-20.5
20200119,S08000032,,5 - 14,,All,d,All,d,44,50.5,-12.9
